# OSM coverage layer (man_made/telecom=data_center). Real locations; capacity NOT in OSM.
# Auto-ingested via Overpass; country by point-in-polygon.
name,operator,iso3,country,lat,lng,type
Cellnex,,NLD,Netherlands,52.1681,5.8965,colocation
Telstra,Telstra,AUS,Australia,-32.0654,115.8014,colocation
Equinix AM7,Equinix,NLD,Netherlands,52.3031,4.9379,hyperscale
CoreSite DC1,CoreSite,USA,United States of America,38.9029,-77.0291,colocation
ATW,ATW,HUN,Hungary,47.5180,19.0551,colocation
スーパーコンピュータ「富岳」,,JPN,Japan,34.6534,135.2204,colocation
BT Games,Apple Inc.,ZAF,South Africa,-26.1825,28.2410,colocation
Дата-центр "Вконтакте",,RUS,Russia,59.9118,30.5778,colocation
Southwest Cyberport,,USA,United States of America,35.1033,-106.5893,colocation
ForHLR II,Steinbuch Centre for Computing,DEU,Germany,49.0960,8.4334,colocation
Data center,,ISR,Israel,32.0930,34.8586,colocation
Association ReptiGo,,FRA,France,49.2234,6.0111,colocation
CGCO,UFJF,BRA,Brazil,-21.7763,-43.3714,colocation
SFR Netcenter Courbevoie,SFR,FRA,France,48.9038,2.2578,colocation
SDSU Computer Room,,USA,United States of America,32.7750,-117.0709,colocation
WorldStream,,NLD,Netherlands,52.0012,4.2108,colocation
Selectel Tsvetochnaya 1,Selectel,RUS,Russia,59.8866,30.3294,colocation
LeaseWeb AMS-01,LeaseWeb,NLD,Netherlands,52.3917,4.6647,colocation
Dataplace datacenter Arnhem,Eurofiber Cloud Infra,NLD,Netherlands,51.9870,5.9340,colocation
Equinix TR1,Equinix,CAN,Canada,43.6445,-79.3844,hyperscale
Databarn Amsterdam,Databarn Amsterdam B.V.,NLD,Netherlands,52.3964,4.8511,colocation
NorthC Datacenters Amsterdam,NorthC,NLD,Netherlands,52.3934,4.8494,colocation
Digital Realty AMS3,Digital Realty,NLD,Netherlands,52.2841,4.7709,hyperscale
Digital Realty AMS5,Digital Realty,NLD,Netherlands,52.2801,4.7543,hyperscale
EdgeConneX AMS01,EdgeConneX,NLD,Netherlands,52.2841,4.7661,colocation
EdgeConneX AMS03,EdgeConneX,NLD,Netherlands,52.2837,4.7669,colocation
Digital Realty AMS6,Digital Realty,NLD,Netherlands,52.2853,4.7660,hyperscale
EdgeConneX AMS04,EdgeConneX,NLD,Netherlands,52.2816,4.7678,colocation
Digital Realty AMS11,Digital Realty,NLD,Netherlands,52.2845,4.7651,hyperscale
EdgeConneX AMS02,EdgeConneX,NLD,Netherlands,52.2828,4.7676,colocation
EdgeConneX AMS05,EdgeConneX,NLD,Netherlands,52.2843,4.7672,colocation
Equinix,Equinix,DEU,Germany,52.2371,6.8495,hyperscale
NorthC Datacenter Aalsmeer,NorthC,NLD,Netherlands,52.2598,4.7734,colocation
Databarn Rivium,Databarn Rivium B.V.,NLD,Netherlands,51.9102,4.5467,colocation
Global Switch Amsterdam,Global Switch,NLD,Netherlands,52.3440,4.8289,colocation
Colt Amsterdam Van der Madeweg,,NLD,Netherlands,52.3281,4.9260,colocation
Solcon Droten,,NLD,Netherlands,52.5392,5.7023,colocation
Serverius DC1,,NLD,Netherlands,52.5437,5.7051,colocation
Digital Realty,Digital Realty,NLD,Netherlands,52.3337,4.9189,hyperscale
Digital Realty AMS17,Digital Realty,NLD,Netherlands,52.3571,4.9508,hyperscale
Digital Realty AMS9,Digital Realty,NLD,Netherlands,52.3561,4.9527,hyperscale
KPN Amsterdam,KPN,NLD,Netherlands,52.3003,4.9550,colocation
NorthC AMS-02,NorthC Nederland,NLD,Netherlands,52.2963,4.9487,colocation
Verizon 2,,NLD,Netherlands,52.3050,4.9355,colocation
Datacenter.com AMS1,,NLD,Netherlands,52.3095,4.9360,colocation
Equinix AM11,Equinix,NLD,Netherlands,52.3040,4.9393,hyperscale
Equinix AM2,Equinix,NLD,Netherlands,52.3006,4.9420,hyperscale
Laboratório de Programação,,BRA,Brazil,-12.1995,-38.9734,colocation
KPN Telefoon Centrale,KPN,NLD,Netherlands,52.6320,4.7428,colocation
Data center,,TUR,Turkey,37.9628,32.5250,colocation
Дата-центр Миран-1,,RUS,Russia,59.9652,30.3395,colocation
Дата-центр Миран-2,,RUS,Russia,59.9638,30.3390,colocation
