# Data-centre electricity as a share of national electricity — PUBLISHED ESTIMATES.
# Compiled from IEA and national grid/statistics reports; figures are the latest
# widely-cited published estimates and are approximate. Country-level DC-vs-grid
# projections are part of the paid GAIA report. Global context (IEA): data centres
# were ~1.5% of world electricity (~460 TWh) in 2022, projected toward ~1,000 TWh by 2026.
iso3,country,dc_share_pct,year,source
IRL,Ireland,21.0,2023,CSO / EirGrid
USA,United States,4.4,2023,LBNL / IEA
SGP,Singapore,7.0,2023,IEA / national
NLD,Netherlands,5.0,2023,IEA / national estimate
DNK,Denmark,6.0,2023,IEA / national estimate
DEU,Germany,3.7,2023,IEA / national estimate
GBR,United Kingdom,2.5,2023,IEA / national estimate
CHN,China,3.0,2023,IEA estimate
JPN,Japan,2.0,2023,IEA estimate
KOR,South Korea,2.5,2023,IEA estimate
SWE,Sweden,3.0,2023,IEA / national estimate
