# File: gaia_occupations.csv
# Description: GAIA scores for 923 US occupations (O*NET-SOC 2018 codes).
#   Columns: O*NET-SOC Code, Title, dv_rating_alpha/beta/gamma,
#   human_rating_alpha/beta/gamma, sml_score, group,
#   aei_task_success, aei_autonomy_pct, aei_work_pct, gaia_e,
#   tot_emp, a_mean, a_median
# Wage columns (tot_emp = total employment, a_mean = mean annual wage,
#   a_median = median annual wage) merged from U.S. BLS OEWS, May 2025
#   national data (national_M2025_dl.xlsx), joined on 6-digit SOC code.
#   Blank where BLS publishes no annual estimate (e.g. hourly-only occupations).
# Updated: May 2026
#
# GAIA — Global AI Adoption Index
# © 2026 Leila Aghabarari. Licensed under CC BY 4.0.
# https://creativecommons.org/licenses/by/4.0/
#
# Citation (APA):
#   Aghabarari, L. (2026). GAIA — Global AI Adoption Index (Version 1.0).
#   Zenodo. https://doi.org/10.5281/zenodo.20320112
#
# Citation (BibTeX):
#   @misc{{aghabarari2026gaia,
#     author    = {{Aghabarari, Leila}},
#     title     = {{{{GAIA}}: {{G}}lobal {{AI}} {{A}}doption {{I}}ndex}},
#     year      = {{2026}},
#     version   = {{1.0}},
#     publisher = {{Zenodo}},
#     doi       = {{10.5281/zenodo.20320112}},
#     url       = {{https://doi.org/10.5281/zenodo.20320112}}
#   }}
#
# Underlying sources (must also be cited when used):
#   Anthropic Economic Index — Anthropic (2025), CC BY 4.0
#     https://huggingface.co/datasets/Anthropic/EconomicIndex
#   Eloundou et al. (2024) — Science 384(6702), DOI 10.1126/science.adj0998
#   Brynjolfsson, Mitchell & Rock (2018) — NBER WP 24196, CC BY 4.0
#     https://doi.org/10.3386/w24196
#
# Website: https://gaiaindex.org   |   Contact: aghabarari.leila@gmail.com
# Disclaimer: Views are the author's own and do not represent the IFC/World Bank.
O*NET-SOC Code,Title,dv_rating_alpha,dv_rating_beta,dv_rating_gamma,human_rating_alpha,human_rating_beta,human_rating_gamma,sml_score,group,aei_task_success,aei_autonomy_pct,aei_work_pct,gaia_e,tot_emp,a_mean,a_median
11-1011.00,Chief Executives,10.0,46.0,82.0,18.0,35.0,52.0,66.7,Management,73.2,58.2,80.0,0.5321,204350,269630,213990
11-1011.03,Chief Sustainability Officers,16.7,55.6,94.4,5.6,38.9,72.2,62.4,Management,66.8,58.5,82.8,0.5303,204350,269630,213990
11-1021.00,General and Operations Managers,0.0,48.1,96.2,11.5,38.5,65.4,61.6,Management,61.6,61.8,81.8,0.4836,3503020,134940,105770
11-1031.00,Legislators,3.3,40.0,76.7,26.7,51.7,76.7,,Management,70.9,57.5,74.4,0.4,3720520,142120,108510
11-2011.00,Advertising and Promotions Managers,0.0,47.7,95.3,25.6,54.7,83.7,59.4,Management,77.2,62.5,83.3,0.4561,21470,154280,133660
11-2021.00,Marketing Managers,6.2,50.0,93.8,21.9,57.8,93.8,70.6,Management,64.9,65.8,74.3,0.5972,395240,177770,166790
11-2022.00,Sales Managers,0.0,45.0,90.0,10.0,48.3,86.7,62.7,Management,71.3,56.8,71.7,0.4808,637080,164350,148270
11-2032.00,Public Relations Managers,15.0,55.0,95.0,25.0,57.5,90.0,,Management,75.3,61.0,77.5,0.55,74850,164760,146910
11-2033.00,Fundraising Managers,12.5,56.2,100.0,25.0,50.0,75.0,,Management,80.9,61.0,88.3,0.562,38810,140020,125470
11-3012.00,Administrative Services Managers,8.7,39.1,69.6,26.1,50.0,73.9,,Management,88.2,70.5,,0.391,263960,129870,114130
11-3013.00,Facilities Managers,0.0,31.8,63.6,9.1,27.3,45.5,,Management,88.2,63.0,100.0,0.318,156180,116890,106660
11-3013.01,Security Managers,7.1,48.2,89.3,25.0,53.6,82.1,,Management,65.4,62.0,64.2,0.482,156180,116890,106660
11-3021.00,Computer and Information Systems Managers,12.1,53.0,93.9,30.3,56.1,81.8,64.4,Management,66.6,60.2,68.6,0.5404,670570,192160,175140
11-3031.00,Financial Managers,0.0,48.1,96.3,3.7,42.6,81.5,,Management,64.8,59.2,69.5,0.481,841710,186910,166570
