iso3,country_name,aipi_overall,aipi_digital_infra,aipi_innovation,aipi_human_capital,aipi_regulation
SGP,Singapore,0.8006,0.2086,0.1805,0.1952,0.2162
DNK,Denmark,0.7785,0.2018,0.1817,0.1768,0.2183
USA,United States,0.7713,0.1878,0.1825,0.1833,0.2177
NLD,Netherlands,0.7665,0.191,0.1822,0.169,0.2244
EST,Estonia,0.7644,0.2018,0.1591,0.185,0.2186
FIN,Finland,0.758,0.1861,0.1734,0.1681,0.2304
CHE,Switzerland,0.757,0.1898,0.1719,0.1878,0.2075
NZL,New Zealand,0.7537,0.1939,0.1587,0.1814,0.2197
DEU,Germany,0.7533,0.1853,0.179,0.1847,0.2043
SWE,Sweden,0.7478,0.1826,0.1838,0.1711,0.2104
NMQ,NMQ,0.74,0.18,0.17,0.18,0.21
LUX,Luxembourg,0.7353,0.1917,0.1497,0.1718,0.2222
JPN,Japan,0.7332,0.1769,0.1821,0.1707,0.2034
GBR,United Kingdom,0.7309,0.1816,0.163,0.1732,0.2132
AUS,Australia,0.7271,0.1822,0.1619,0.1712,0.2118
KOR,"Korea, Republic of",0.7266,0.181,0.1825,0.1644,0.1986
ISR,Israel,0.7255,0.1733,0.1909,0.1724,0.1888
AUT,Austria,0.7246,0.1937,0.1738,0.159,0.1979
MAE,MAE,0.72,0.18,0.17,0.17,0.2
CAN,Canada,0.7132,0.1719,0.1608,0.1748,0.2056
NOR,Norway,0.7058,0.1725,0.159,0.1669,0.2073
HKG,Hong Kong SAR,0.7006,0.1995,0.1748,0.161,0.1653
ISL,Iceland,0.7001,0.1728,0.1499,0.1706,0.2068
FRA,France,0.6975,0.1818,0.1723,0.1622,0.1813
IRL,Ireland,0.6931,0.1722,0.158,0.1739,0.1891
ADVEC,ADVEC,0.683,0.1755,0.1562,0.1631,0.1882
BEL,Belgium,0.6725,0.1747,0.1724,0.1641,0.1613
EURO,EURO,0.67,0.17,0.16,0.16,0.18
LTU,Lithuania,0.6649,0.1774,0.1476,0.1684,0.1714
EU,EU,0.66,0.17,0.16,0.16,0.18
MLT,Malta,0.6592,0.1658,0.1537,0.1535,0.1861
ESP,Spain,0.6483,0.1696,0.1579,0.1498,0.171
CZE,Czech Republic,0.6462,0.1693,0.1589,0.1555,0.1625
PRT,Portugal,0.646,0.1551,0.164,0.1513,0.1757
CHN,"China, People's Republic of",0.6355,0.1901,0.1471,0.1499,0.1483
SVN,Slovenia,0.6339,0.1627,0.142,0.1522,0.1769
CYP,Cyprus,0.6324,0.1688,0.1546,0.144,0.1649
LVA,Latvia,0.6324,0.1621,0.1455,0.1628,0.1619
MYS,Malaysia,0.632,0.1496,0.14,0.1687,0.1736
EUQ,EUQ,0.63,0.16,0.15,0.15,0.17
ARE,United Arab Emirates,0.6282,0.1519,0.1509,0.1544,0.171
