geo,country,ai_adoption_latest,ai_adoption_year,ai_adoption_2024,ai_adoption_2023,ai_adoption_2021
DK,Denmark,27.6,2024,27.6,15.2,23.9
SE,Sweden,25.1,2024,25.1,10.4,9.9
BE,Belgium,24.7,2024,24.7,13.8,10.3
FI,Finland,24.4,2024,24.4,15.1,15.8
LU,Luxembourg,23.7,2024,23.7,14.4,13.0
NL,Netherlands,23.1,2024,23.1,14.1,13.1
SI,Slovenia,20.9,2024,20.9,11.4,11.7
NO,Norway,20.8,2024,20.8,9.2,10.8
AT,Austria,20.3,2024,20.3,10.8,8.8
DE,Germany,19.8,2024,19.8,11.6,10.6
MT,Malta,17.3,2024,17.3,13.2,10.2
IE,Ireland,14.9,2024,14.9,8.0,7.9
EE,Estonia,13.9,2024,13.9,5.2,2.8
HR,Croatia,11.8,2024,11.8,7.9,8.7
CZ,Czechia,11.3,2024,11.3,5.9,4.5
ES,Spain,11.3,2024,11.3,9.2,7.7
SK,Slovakia,10.8,2024,10.8,7.0,5.2
FR,France,9.9,2024,9.9,5.9,6.7
EL,Greece,9.8,2024,9.8,4.0,2.6
LT,Lithuania,8.8,2024,8.8,4.9,4.5
LV,Latvia,8.8,2024,8.8,4.5,3.7
PT,Portugal,8.6,2024,8.6,7.9,7.2
IT,Italy,8.2,2024,8.2,5.0,6.2
CY,Cyprus,7.9,2024,7.9,4.7,2.6
ME,Montenegro,7.9,2024,7.9,5.6,3.3
HU,Hungary,7.4,2024,7.4,3.7,3.0
RS,Serbia,7.0,2024,7.0,1.8,0.9
BG,Bulgaria,6.5,2024,6.5,3.6,3.3
BA,Bosnia and Herzegovina,6.4,2024,6.4,5.3,2.1
PL,Poland,5.9,2024,5.9,3.7,2.9
TR,Türkiye,4.4,2024,4.4,5.5,2.7
AL,Albania,3.7,2021,,,3.7
RO,Romania,3.1,2024,3.1,1.5,1.4
