soc_code,title,dv_rating_beta,dv_rating_alpha,human_rating_beta,sml_score,gaia_e,group,median_annual_wage,employment,aei_task_success,aei_autonomy_pct
11-1011.00,Chief Executives,46.0,10.0,35.0,66.7,0.5321,Management,,,73.2,58.2
11-1011.03,Chief Sustainability Officers,55.6,16.7,38.9,62.4,0.5303,Management,,,66.8,58.5
11-1021.00,General and Operations Managers,48.1,0.0,38.5,61.6,0.4836,Management,,,61.6,61.8
11-1031.00,Legislators,40.0,3.3,51.7,,0.4,Management,,,70.9,57.5
11-2011.00,Advertising and Promotions Managers,47.7,0.0,54.7,59.4,0.4561,Management,,,77.2,62.5
11-2021.00,Marketing Managers,50.0,6.2,57.8,70.6,0.5972,Management,,,64.9,65.8
11-2022.00,Sales Managers,45.0,0.0,48.3,62.7,0.4808,Management,,,71.3,56.8
11-2032.00,Public Relations Managers,55.0,15.0,57.5,,0.55,Management,,,75.3,61.0
11-2033.00,Fundraising Managers,56.2,12.5,50.0,,0.562,Management,,,80.9,61.0
11-3012.00,Administrative Services Managers,39.1,8.7,50.0,,0.391,Management,,,88.2,70.5
11-3013.00,Facilities Managers,31.8,0.0,27.3,,0.318,Management,,,88.2,63.0
11-3013.01,Security Managers,48.2,7.1,53.6,,0.482,Management,,,65.4,62.0
11-3021.00,Computer and Information Systems Managers,53.0,12.1,56.1,64.4,0.5404,Management,,,66.6,60.2
11-3031.00,Financial Managers,48.1,0.0,42.6,,0.481,Management,,,64.8,59.2
11-3031.01,Treasurers and Controllers,47.4,0.0,40.8,,0.474,Management,,,74.7,59.0
11-3031.03,Investment Fund Managers,50.0,0.0,52.9,,0.5,Management,,,57.4,60.0
11-3051.00,Industrial Production Managers,48.5,6.1,34.8,62.7,0.4983,Management,,,,
11-3051.01,Quality Control Systems Managers,50.9,7.5,47.2,65.0,0.5369,Management,,,75.9,67.2
11-3051.02,Geothermal Production Managers,48.3,20.0,38.3,51.5,0.3677,Management,,,74.1,68.5
11-3051.03,Biofuels Production Managers,28.6,0.0,17.9,71.9,0.5052,Management,,,,
11-3051.04,Biomass Power Plant Managers,32.8,3.1,28.1,59.8,0.3862,Management,,,55.6,60.5
11-3051.06,Hydroelectric Production Managers,34.3,5.7,31.4,57.2,0.3637,Management,,,,
11-3061.00,Purchasing Managers,58.6,22.9,47.1,58.1,0.4956,Management,,,60.4,57.5
