geoName,geoCode,ChatGPT
Alabama,US-AL,64
Alaska,US-AK,53
Arizona,US-AZ,77
Arkansas,US-AR,62
California,US-CA,97
Colorado,US-CO,70
Connecticut,US-CT,79
Delaware,US-DE,75
District of Columbia,US-DC,100
Florida,US-FL,75
Georgia,US-GA,86
Hawaii,US-HI,68
Idaho,US-ID,65
Illinois,US-IL,69
Indiana,US-IN,59
Iowa,US-IA,59
Kansas,US-KS,69
Kentucky,US-KY,54
Louisiana,US-LA,60
Maine,US-ME,51
Maryland,US-MD,80
Massachusetts,US-MA,82
Michigan,US-MI,69
Minnesota,US-MN,65
Mississippi,US-MS,63
Missouri,US-MO,58
Montana,US-MT,51
Nebraska,US-NE,61
Nevada,US-NV,75
New Hampshire,US-NH,59
New Jersey,US-NJ,96
New Mexico,US-NM,59
New York,US-NY,80
North Carolina,US-NC,70
North Dakota,US-ND,58
Ohio,US-OH,56
Oklahoma,US-OK,61
Oregon,US-OR,67
Pennsylvania,US-PA,67
Rhode Island,US-RI,71
South Carolina,US-SC,60
South Dakota,US-SD,56
Tennessee,US-TN,58
Texas,US-TX,80
Utah,US-UT,79
Vermont,US-VT,53
Virginia,US-VA,85
Washington,US-WA,75
West Virginia,US-WV,51
Wisconsin,US-WI,57
Wyoming,US-WY,65
